1701756838.164023 server started (88230): version 3.2a, socket /tmp/tmux-1000/default, protocol 8
1701756838.164087 on Linux 6.2.0-37-generic #38~22.04.1-Ubuntu SMP PREEMPT_DYNAMIC Thu Nov  2 18:01:13 UTC 2
1701756838.164112 using libevent 2.1.12-stable (poll); ncurses 6.3
1701756838.164230 input_key_build: 0x10e003 (PasteStart) is \033[200~
1701756838.164243 input_key_build: 0x10e004 (PasteEnd) is \033[201~
1701756838.164254 input_key_build: 0x10e099 (F1) is \033OP
1701756838.164266 input_key_build: 0x10e09a (F2) is \033OQ
1701756838.164276 input_key_build: 0x10e09b (F3) is \033OR
1701756838.164288 input_key_build: 0x10e09c (F4) is \033OS
1701756838.164299 input_key_build: 0x10e09d (F5) is \033[15~
1701756838.164310 input_key_build: 0x10e09e (F6) is \033[17~
1701756838.164320 input_key_build: 0x10e09f (F7) is \033[18~
1701756838.164331 input_key_build: 0x10e0a0 (F8) is \033[19~
1701756838.164343 input_key_build: 0x10e0a1 (F9) is \033[20~
1701756838.164355 input_key_build: 0x10e0a2 (F10) is \033[21~
1701756838.164369 input_key_build: 0x10e0a3 (F11) is \033[23~
1701756838.164381 input_key_build: 0x10e0a4 (F12) is \033[24~
1701756838.164392 input_key_build: 0x10e0a5 (IC) is \033[2~
1701756838.164404 input_key_build: 0x10e0a6 (DC) is \033[3~
1701756838.164414 input_key_build: 0x10e0a7 (Home) is \033[1~
1701756838.164427 input_key_build: 0x10e0a8 (End) is \033[4~
1701756838.164437 input_key_build: 0x10e0a9 (NPage) is \033[6~
1701756838.164448 input_key_build: 0x10e0aa (PPage) is \033[5~
1701756838.164458 input_key_build: 0x10e0ab (BTab) is \033[Z
1701756838.164469 input_key_build: 0x10e0ac (Up) is \033[A
1701756838.164480 input_key_build: 0x10e0ad (Down) is \033[B
1701756838.164491 input_key_build: 0x10e0ae (Left) is \033[D
1701756838.164502 input_key_build: 0x10e0af (Right) is \033[C
1701756838.164512 input_key_build: 0x10e0b0 (KP/) is /
1701756838.164523 input_key_build: 0x10e0b1 (KP*) is *
1701756838.164534 input_key_build: 0x10e0b2 (KP-) is -
1701756838.164544 input_key_build: 0x10e0b3 (KP7) is 7
1701756838.164555 input_key_build: 0x10e0b4 (KP8) is 8
1701756838.164567 input_key_build: 0x10e0b5 (KP9) is 9
1701756838.164578 input_key_build: 0x10e0b6 (KP+) is +
1701756838.164589 input_key_build: 0x10e0b7 (KP4) is 4
1701756838.164600 input_key_build: 0x10e0b8 (KP5) is 5
1701756838.164610 input_key_build: 0x10e0b9 (KP6) is 6
1701756838.164621 input_key_build: 0x10e0ba (KP1) is 1
1701756838.164633 input_key_build: 0x10e0bb (KP2) is 2
1701756838.164647 input_key_build: 0x10e0bc (KP3) is 3
1701756838.164660 input_key_build: 0x10e0bd (KPEnter) is \n
1701756838.164671 input_key_build: 0x10e0be (KP0) is 0
1701756838.164683 input_key_build: 0x10e0bf (KP.) is .
1701756838.164695 input_key_build: 0x20000010e099 (C-F1) is \033[1;5P
1701756838.164706 input_key_build: 0x20000010e09a (C-F2) is \033[1;5Q
1701756838.164718 input_key_build: 0x20000010e09b (C-F3) is \033[1;5R
1701756838.164729 input_key_build: 0x20000010e09c (C-F4) is \033[1;5S
1701756838.164740 input_key_build: 0x20000010e09d (C-F5) is \033[15;5~
1701756838.164751 input_key_build: 0x20000010e09e (C-F6) is \033[17;5~
1701756838.164762 input_key_build: 0x20000010e09f (C-F7) is \033[18;5~
1701756838.164774 input_key_build: 0x20000010e0a0 (C-F8) is \033[19;5~
1701756838.164785 input_key_build: 0x20000010e0a1 (C-F9) is \033[20;5~
1701756838.164797 input_key_build: 0x20000010e0a2 (C-F10) is \033[21;5~
1701756838.164808 input_key_build: 0x20000010e0a3 (C-F11) is \033[23;5~
1701756838.164819 input_key_build: 0x20000010e0a4 (C-F12) is \033[24;5~
1701756838.164832 input_key_build: 0x20000010e0a5 (C-IC) is \033[2;5~
1701756838.164842 input_key_build: 0x20000010e0a6 (C-DC) is \033[3;5~
1701756838.164853 input_key_build: 0x20000010e0a7 (C-Home) is \033[1;5H
1701756838.164864 input_key_build: 0x20000010e0a8 (C-End) is \033[1;5F
1701756838.164876 input_key_build: 0x20000010e0a9 (C-NPage) is \033[6;5~
1701756838.164886 input_key_build: 0x20000010e0aa (C-PPage) is \033[5;5~
1701756838.164898 input_key_build: 0x20000010e0ac (C-Up) is \033[1;5A
1701756838.164908 input_key_build: 0x20000010e0ad (C-Down) is \033[1;5B
1701756838.164938 input_key_build: 0x20000010e0ae (C-Left) is \033[1;5D
1701756838.164950 input_key_build: 0x20000010e0af (C-Right) is \033[1;5C
1701756838.164961 input_key_build: 0x40000010e099 (S-F1) is \033[1;2P
1701756838.164972 input_key_build: 0x40000010e09a (S-F2) is \033[1;2Q
1701756838.164984 input_key_build: 0x40000010e09b (S-F3) is \033[1;2R
1701756838.164995 input_key_build: 0x40000010e09c (S-F4) is \033[1;2S
1701756838.165006 input_key_build: 0x40000010e09d (S-F5) is \033[15;2~
1701756838.165021 input_key_build: 0x40000010e09e (S-F6) is \033[17;2~
1701756838.165033 input_key_build: 0x40000010e09f (S-F7) is \033[18;2~
1701756838.165044 input_key_build: 0x40000010e0a0 (S-F8) is \033[19;2~
1701756838.165055 input_key_build: 0x40000010e0a1 (S-F9) is \033[20;2~
1701756838.165066 input_key_build: 0x40000010e0a2 (S-F10) is \033[21;2~
1701756838.165077 input_key_build: 0x40000010e0a3 (S-F11) is \033[23;2~
1701756838.165087 input_key_build: 0x40000010e0a4 (S-F12) is \033[24;2~
1701756838.165098 input_key_build: 0x40000010e0a5 (S-IC) is \033[2;2~
1701756838.165109 input_key_build: 0x40000010e0a6 (S-DC) is \033[3;2~
1701756838.165126 input_key_build: 0x40000010e0a7 (S-Home) is \033[1;2H
1701756838.165140 input_key_build: 0x40000010e0a8 (S-End) is \033[1;2F
1701756838.165157 input_key_build: 0x40000010e0a9 (S-NPage) is \033[6;2~
1701756838.165172 input_key_build: 0x40000010e0aa (S-PPage) is \033[5;2~
1701756838.165187 input_key_build: 0x40000010e0ac (S-Up) is \033[1;2A
1701756838.165207 input_key_build: 0x40000010e0ad (S-Down) is \033[1;2B
1701756838.165222 input_key_build: 0x40000010e0ae (S-Left) is \033[1;2D
1701756838.165236 input_key_build: 0x40000010e0af (S-Right) is \033[1;2C
1701756838.165251 input_key_build: 0x60000010e099 (C-S-F1) is \033[1;6P
